一日目
必ずしも,かならずしも,not always,金持ちが必ずしも幸福とは限らない,being rich does not necessarily mean being happy
とは限らない,とはかぎらない,not necessarily,金持ちが必ずしも幸福とは限らない,being rich does not necessarily mean being happy
必ず,かならず,always,人間は必ず死ぬ,we will all eventually die
いつか,いつか,someday,いつかアフリカに行きたい,I want to go to Africa someday
いつまでも,いつまでも,forever,いつまでもお元気で,please take care
いつの間にか,いつのまにか,before you know it,いつの間にか夜になった,it became night before we knew it
つい,つい,unintentionally,つい嘘を言ってしまった,I lied without meaning to
ついに,ついに,finally,ついに絵が完成した,my painting is finally finished
とうしても,とうしても,by all means,用事があってどうしても行けない,I can't go by any means as I have other commitments
どうも,どうも,very,どうも上手に話せない,I can't really explain it well
なんとか,なんとか,somehow,なんとか会議に間に合った,I somehow made it to the meeting on time
どうにか,どうにか,somehow,この問題をどうにかしなければならない,we have to do something about this problem
なんとなく,なんとなく,somehow,これはなんとなく面白そうな本だ,this book looks somehow interesting
なんとも,なんとも,nothing,そんなこと、なんとも思わない,I don't think anything of it
もし,もし,if,もしも100万円あったら,if I had a million yen
もしかしたら,もしかしたら,perhaps,もしかしたら彼の話は嘘かもしれない,what he said might have been a lie
もしかすると,もしかすると,perhaps,もしかすると彼は来ないかもしれない,he might not come
なるべく,なるべく,as much as possible,なるべく早く来てください,please come as soon as possible
なるほど,なるほど,I see,なるほど、面白い本だ,I see, it's certainly an interesting book
確か,たしか,if I remember correctly,あの人は、確か林さんのお父さんだと思う,I think that person is Mr. Hayashi's father
確かに,たしかに,certainly,あの人は、確かに林さんのお父さんだ,that person is certainly Mr. Hayashi's father

二日目
まもなく,まもなく,soon,コンサートがまもなく始まる,the concert will start soon
近々,ちかぢか,soon,近々お伺いします,I will visit you soon
そのうち,そのうち,eventually,そのうちわかるようになるでしょう,you will eventually understand
やがて,やがて,eventually,やがて夏休みも終わる,summer vacation will eventually end
ようやく,ようやく,finally,ようやく暖かくなってきた,it has finally become warm
いずれ,いずれ,eventually,いずれこうなると思った,I thought it would eventually come to this
たちまち,たちまち,in an instant,チケットはたちまち売り切れた,the tickets were sold out in an instant
直ちに,ただちに,immediately,直ちに出発したほうがいい,you should leave immediately
にわかに,にわかに,suddenly,にわかに空が曇ってきた,the sky suddenly became cloudy
絶えず,たえず,constantly,絶えず水が流れている,water is constantly flowing
つねに,つねに,always,つねに健康に注意する,always be careful about your health
しきりに,しきりに,frequently,しきりに電話が鳴る,the phone keeps ringing
しょっちゅう,しょっちゅう,often,しょっちゅう酒を飲む,drink often
すでに,すでに,already,その絵はすでに売れてしまった,the painting has already been sold
とっくに,とっくに,long ago,期限はとっくに過ぎている,the deadline has long passed
前もって,まえもって,in advance,前もって調べておく,I will check in advance
ほぼ,ほぼ,almost,ほぼ読み終わる,almost finish reading
おおよそ,おおよそ,roughly,おおよそ100人の人が来た,roughly 100 people came
ほんの,ほんの,just,ほんの少しの間,just for a little while
たった,たった,only,たった一人で行く,go all by themself
せいぜい,せいぜい,at most,出席者はせいぜい20人程度だ,the number of attendees is at most 20 people
少なくとも,すくなくとも,at least,少なくとも30人は来るだろう,at least 30 people will come
せめて,せめて,at least,せめて5位以内になりたかった,I wanted to be at least in the top 5

三日目
たびたび,たびたび,often,たびたびお電話してすみません,I'm sorry for calling you often
しばしば,しばしば,often,しばしば彼に会う,I often see him
いよいよ,いよいよ,finally,いよいよ明日出発します,we will finally leave tomorrow
いちいち,いちいち,one by one,いちいち文句を言う,complain about everything
ふわふわ,ふわふわ,soft,このタオルはふわふわしている,this towel is very soft
孫孫,まごまご,confused,わからんくてまごまごしている,I'm at a loss
それぞれ,それぞれ,each,それぞれ意見を述べる,each person expresses their opinion
めいめい,めいめい,each,めいめいに意見を述べる,each person expresses their opinion
ひとりひとり,ひとりひとり,each,ひとりひとりに意見を述べる,each person expresses their opinion
各々,おのおの,each,各々意見を述べる,each person expresses their opinion
バッタリ,ばったり,unexpectedly,友達にバッタリ会う,unexpectedly meet a friend
こっそり,こっそり,secretly,こっそり逃げる,sneak out
ぴったり,ぴったり,exactly,計算がぴったり合う,the calculation is exactly right
ぎっしり,ぎっしり,tightly,みかんがぎっしり詰まっている,the box is tightly packed with mandarin oranges
じっくり,じっくり,carefully,じっくり読む,read it slowly and carefully
ちらっと,ちらっと,glance,ちらっと見る,glance at it
うんざり,うんざり,be fed up,親の説教にうんざりする,I'm fed up with my parents' lectures
びっしょり,びっしょり,soaked,急に雨が降ってびっしょり濡れた,I got soaked in a sudden rain
びしょびしょ,びしょびしょ,soaked,雨でびしょびしょに濡れた,I got soaked in the rain
しいんと,しいんと,quietly,しいんとしている,it's quiet
ずらりと,ずらりと,in a row,本がずらりと並んでいる,books are lined up in a row
さっさと,さっさと,quickly,さっさと帰る,leave at once
せっせと,せっせと,steadily,せっせと働く,work steadily
どっと,どっと,suddenly,どっと疲れる,suddenly get tired
すっと,すっと,abruptly,すっと立ち上がる,stand up abruptly
ひとりでに,ひとりでに,naturally,ドアがひとりでに開いた,the door opened by itself
一斉に,いっせいに,all at once,一斉に立ち上がる,stand up all at once

四日目


五日目


六日目
